,data,label
10,"[0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 4, 9, 0, 0, 0, 0, 0, 0, 3, 11, 5, 4, 0, 0, 0, 1, 6, 8, 10, 2, 0, 0, 0, 2, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 6, 4, 1, 0, 0, 0, 0, 5, 8, 1, 1, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 7, 6, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 3, 0, 0, 0, 0, 0, 4, 7, 1, 0, 0, 0, 0, 0, 7, 4, 3, 5, 0, 0, 0, 0, 5, 8, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
13,"[0, 0, 0, 0, 3, 9, 0, 0, 0, 0, 0, 0, 2, 4, 11, 0, 0, 0, 0, 0, 1, 8, 4, 0, 0, 0, 0, 0, 5, 7, 3, 0, 0, 0, 2, 7, 6, 1, 4, 1, 0, 0, 6, 7, 9, 6, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
14,"[0, 0, 3, 7, 10, 2, 0, 0, 0, 0, 7, 2, 9, 3, 0, 0, 0, 0, 1, 4, 8, 1, 0, 0, 0, 0, 1, 8, 5, 1, 0, 0, 3, 3, 7, 3, 0, 0, 0, 0, 1, 8, 5, 0, 0, 0, 0, 0, 1, 9, 6, 8, 9, 7, 7, 1, 0, 1, 1, 1, 1, 2, 1, 2]",2
15,"[0, 0, 0, 5, 7, 7, 0, 0, 0, 0, 0, 3, 1, 8, 0, 0, 0, 2, 3, 3, 7, 4, 0, 0, 6, 4, 3, 8, 3, 4, 0, 0, 5, 10, 4, 2, 2, 3, 0, 0, 2, 3, 5, 5, 3, 9, 0, 0, 0, 0, 2, 5, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
16,"[0, 0, 0, 0, 5, 4, 6, 2, 0, 0, 0, 0, 7, 8, 8, 4, 1, 6, 1, 3, 7, 8, 3, 2, 1, 8, 6, 8, 10, 2, 5, 1, 0, 2, 7, 10, 5, 4, 8, 3, 0, 0, 3, 5, 4, 7, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
17,"[0, 0, 8, 8, 5, 5, 0, 0, 0, 0, 6, 4, 8, 2, 0, 0, 0, 0, 0, 7, 6, 1, 0, 0, 0, 0, 3, 10, 2, 0, 0, 0, 2, 4, 9, 3, 0, 0, 0, 0, 2, 9, 3, 2, 0, 0, 0, 0, 5, 7, 4, 4, 6, 2, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0]",2
18,"[0, 0, 0, 3, 1, 6, 0, 0, 0, 0, 6, 3, 6, 4, 0, 0, 0, 0, 5, 2, 6, 3, 0, 0, 0, 0, 4, 11, 3, 2, 0, 0, 0, 0, 8, 7, 8, 5, 4, 3, 0, 0, 2, 0, 3, 5, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 7, 7, 5, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 1, 0, 0, 0, 0, 3, 4, 2, 1, 0, 0, 0, 0, 4, 3, 4, 1, 0, 0, 0, 0, 6, 5, 0, 1, 0, 0, 5, 2, 0, 1, 4, 3, 0, 0, 1, 5, 5, 5, 5, 2]",2
21,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 6, 10, 12, 0, 0, 0, 0, 0, 4, 6, 5, 0, 1, 0, 0, 1, 12, 11, 3, 3, 2, 0, 0, 0, 4, 5, 4, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 7, 2, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0, 0, 0, 4, 6, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 6, 0, 0, 0, 0, 0, 4, 8, 8, 0, 0, 0, 0, 0, 4, 10, 6, 1, 0, 0, 0, 0, 2, 5, 2, 3, 0, 0, 0, 0, 0, 4, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9, 2, 2, 0, 0, 0, 0, 9, 6, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 6, 7, 5, 7, 4, 1, 6, 7, 4, 3, 4, 2, 2, 3, 7, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 2, 4, 3, 0, 0, 0, 4, 6, 6, 7, 3, 0, 0, 0, 6, 3, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 2, 0, 0, 0, 0, 0, 12, 7, 3, 0, 0, 0, 2, 5, 4, 2, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 2, 7, 4, 0, 0, 1, 5, 7, 9, 6, 3, 0, 0, 2, 7, 0, 4, 0, 0, 0, 0, 3, 4, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 5, 6, 4, 0, 0, 0, 3, 7, 5, 2, 3, 2, 0, 0, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 5, 0, 0, 0, 0, 2, 8, 8, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 8, 7, 2, 1, 0, 0, 4, 10, 8, 5, 3, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
32,"[0, 0, 3, 4, 3, 0, 0, 0, 0, 0, 2, 6, 9, 4, 0, 0, 0, 0, 0, 4, 4, 8, 4, 0, 0, 0, 0, 4, 2, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 3, 0, 0, 0, 0, 4, 4, 5, 3, 1, 0, 0, 0, 6, 0, 4, 9, 1, 0, 0, 0, 6, 2, 2, 2, 0, 0, 2, 3, 3, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0]",3
34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 9, 3, 0, 0, 0, 0, 5, 5, 2, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3
35,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 7, 0, 0, 4, 2, 0, 0, 2, 11, 6, 10, 7, 3, 0, 0, 2, 8, 2, 4, 3, 2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 9, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",3
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 8, 4, 0, 0, 0, 0, 6, 6, 4, 4, 0, 0, 1, 2, 7, 3, 0, 0, 0, 0, 4, 5, 2, 6, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",3
37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 2, 0, 0, 0, 0, 0, 9, 10, 5, 1, 0, 0, 2, 2, 6, 4, 0, 0, 0, 0, 2, 6, 4, 3, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3
38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 8, 6, 7, 4, 0, 0, 1, 5, 7, 4, 6, 4, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 2, 0, 0, 0, 0, 4, 8, 9, 3, 0, 0, 0, 0, 2, 3, 7, 2, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
40,"[0, 0, 1, 3, 1, 0, 3, 4, 0, 0, 5, 3, 4, 2, 3, 1, 0, 0, 8, 5, 11, 4, 6, 1, 0, 0, 6, 4, 3, 1, 0, 0, 1, 5, 10, 1, 0, 0, 0, 0, 0, 6, 9, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3
41,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 1, 0, 0, 2, 1, 4, 7, 4, 6, 0, 0, 1, 6, 4, 1, 4, 3, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
42,"[0, 0, 1, 3, 1, 0, 3, 4, 0, 0, 5, 3, 4, 2, 3, 1, 0, 0, 8, 5, 11, 4, 6, 1, 0, 0, 6, 4, 3, 1, 0, 0, 1, 5, 10, 1, 0, 0, 0, 0, 0, 6, 9, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3
43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 2, 3, 0, 0, 0, 0, 5, 7, 11, 5, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
44,"[0, 0, 0, 2, 2, 1, 0, 1, 0, 0, 1, 3, 3, 7, 3, 0, 0, 0, 0, 5, 10, 4, 0, 0, 0, 0, 0, 0, 2, 6, 4, 0, 0, 0, 0, 0, 0, 0, 8, 3, 0, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 5, 2, 0, 0, 0, 0, 7, 6, 8, 2, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
46,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 7, 8, 10, 9, 0, 0, 0, 0, 7, 2, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 5, 3, 0, 0, 0, 0, 3, 6, 9, 1, 0, 0, 0, 0]",3
47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 5, 2, 0, 0, 0, 0, 0, 6, 6, 2, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 9, 14, 4, 0, 0, 0, 0, 2, 9, 2, 2, 0, 0, 1, 2, 6, 6, 0, 0, 0, 0, 4, 9, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 10, 12, 1, 0, 0, 0, 0, 2, 8, 4, 1, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
50,"[0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 2, 6, 3, 1, 0, 0, 0, 0, 6, 6, 1, 1, 0, 0, 0, 0, 6, 7, 7, 0, 0, 0, 0, 0, 5, 3, 4, 1, 0, 0, 0, 0, 4, 2, 5, 4, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4
51,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 1, 8, 6, 3, 0, 0, 0, 0, 3, 10, 6, 1, 0, 0, 0, 0, 0, 7, 4, 4, 6, 2, 0, 0, 4, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
52,"[0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 2, 6, 3, 1, 0, 0, 0, 0, 6, 6, 1, 1, 0, 0, 0, 0, 6, 7, 7, 0, 0, 0, 0, 0, 5, 3, 4, 1, 0, 0, 0, 0, 4, 2, 5, 4, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4
53,"[0, 0, 4, 1, 3, 1, 0, 0, 0, 0, 4, 6, 7, 3, 0, 0, 0, 0, 7, 6, 4, 1, 0, 0, 0, 0, 5, 5, 8, 2, 0, 0, 0, 0, 3, 10, 4, 4, 0, 0, 0, 0, 5, 5, 3, 8, 0, 0, 0, 0, 6, 7, 7, 4, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",4
54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 4, 2, 0, 0, 0, 0, 2, 8, 11, 2, 0, 0, 0, 0, 3, 13, 10, 2, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
55,"[0, 1, 7, 7, 7, 4, 0, 0, 0, 5, 5, 1, 4, 4, 0, 0, 1, 7, 5, 2, 0, 0, 0, 0, 0, 1, 7, 9, 0, 0, 0, 0, 0, 0, 6, 7, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
56,"[0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 1, 9, 2, 0, 0, 0, 0, 0, 2, 8, 9, 0, 0, 0, 0, 0, 9, 5, 0, 0, 1, 1, 0, 0, 2, 7, 7, 5, 5, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 6, 2, 1, 0, 0, 0, 0, 5, 3, 2, 1, 0, 0, 0, 0, 2, 7, 6, 1, 3, 1, 0, 0, 2, 6, 1, 3, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 7, 0, 0, 0, 0, 2, 4, 5, 6, 0, 0, 0, 0, 0, 0, 11, 4, 0, 1, 0, 0, 0, 0, 3, 5, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 3, 1, 0, 0, 0, 0, 5, 0, 1, 2, 0, 0, 0, 0, 4, 8, 8, 4, 0, 0, 0, 0, 6, 5, 4, 2, 0, 0, 0, 0, 6, 4, 8, 6, 0, 0, 0, 0, 1, 5, 2, 1, 0, 0]",4
60,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 1, 4, 8, 2, 0, 0, 0, 0, 1, 8, 3, 3, 0, 0, 0, 0, 2, 7, 9, 9, 3, 2, 1, 0, 1, 3, 9, 2, 4, 6, 4, 3, 0, 0, 9, 5, 5, 10, 0, 0, 0, 0, 3, 8, 4, 2, 0, 0]",4
61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 3, 0, 0, 0, 0, 0, 8, 8, 6, 0, 0, 0, 0, 0, 7, 12, 5, 1, 0, 0, 0, 1, 1, 2, 9, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 4, 4, 0, 0, 0, 0, 1, 9, 7, 1, 0, 0, 0, 4, 9, 3, 0, 0, 0, 0, 2, 4, 8, 7, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
63,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 3, 0, 0, 0, 0, 0, 2, 11, 3, 3, 0, 0, 0, 0, 2, 7, 5, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
64,"[0, 0, 3, 5, 6, 0, 0, 0, 0, 4, 6, 3, 0, 0, 0, 0, 1, 4, 8, 7, 3, 0, 0, 0, 0, 3, 8, 2, 0, 1, 0, 0, 0, 2, 9, 9, 7, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
65,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 12, 5, 0, 0, 0, 0, 8, 1, 3, 3, 0, 0, 0, 0, 5, 7, 9, 1, 0, 0, 0, 0, 5, 6, 5, 1, 0, 0, 0, 0, 8, 5, 8, 4, 0, 0, 0, 0, 1, 4, 5, 2, 0, 0]",4
66,"[0, 0, 1, 1, 2, 3, 0, 0, 0, 0, 6, 8, 6, 1, 0, 0, 0, 0, 9, 5, 2, 2, 0, 0, 0, 0, 3, 11, 7, 3, 0, 0, 0, 0, 3, 8, 2, 2, 0, 0, 0, 0, 1, 7, 4, 3, 0, 0, 0, 0, 2, 6, 7, 4, 0, 0, 0, 0, 1, 5, 2, 2, 0, 0]",4
67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 5, 8, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 7, 5, 1, 0, 0, 0, 0, 0, 2, 5, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",4
68,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 7, 2, 0, 0, 0, 0, 4, 9, 8, 5, 0, 0, 0, 0, 3, 9, 5, 5, 0, 0, 0, 0, 3, 5, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
69,"[0, 0, 3, 2, 1, 2, 0, 0, 0, 0, 4, 6, 5, 1, 0, 0, 0, 0, 4, 3, 3, 1, 0, 0, 0, 0, 2, 7, 5, 1, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
